USER_SESSION_ID,snippets,kotzbox,guess_hypothesis,issues
fb42e2ec502b42df9a937df5d3964d8d,"['readini.semantic.single.html', 'codestructure.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'histogram.syntactic.single.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.normal.html']","Hat SpaÃŸ gemacht, gerne wieder! Das Ganze kÃ¶nnte sich (mit anderen Code-Beispielen) auch als Challenge vermarkten lassen ;)","HauptsÃ¤chlich wurde wohl untersucht, welchen Einfluss die Benennung von Variablen auf die VerstÃ¤ndlichkeit des Codes hat.",
f8b3fd416fa2463f867ae66631bd3ad5,"['codestructure.semantic.normal.html', 'countchildren.semantic.abbrev.html', 'readini.semantic.single.html', 'parsequerystring.syntactic.normal.html', 'histogram.syntactic.abbrev.html', 'concatlists.syntactic.single.html']",Sehr sehr schÃ¶n gemacht.,Zusammenhang Lesbarkeit von Variablen und Geschwindigkeit des Fehlerfindes,Einmal: bei ZurÃ¼ckZumCode ging danach Space erst das dritte oder vierte mal
5349d110076847cdac428f7e3e61e494,"['countchildren.semantic.abbrev.html', 'codestructure.semantic.single.html', 'readini.semantic.normal.html', 'concatlists.syntactic.single.html', 'parsequerystring.syntactic.normal.html', 'histogram.syntactic.abbrev.html']",,Cleancode,
87d7f6da24bf4ddc81154f0f3423c99f,"['readini.semantic.normal.html', 'countchildren.semantic.single.html', 'codestructure.semantic.abbrev.html', 'histogram.syntactic.single.html', 'concatlists.syntactic.normal.html', 'parsequerystring.syntactic.abbrev.html']",Hypothese optional machen,-,
57d839891d0a4f5ea8ec2b1b08abaaae,"['codestructure.semantic.abbrev.html', 'readini.semantic.single.html', 'countchildren.semantic.normal.html', 'histogram.syntactic.single.html', 'parsequerystring.syntactic.abbrev.html', 'concatlists.syntactic.normal.html']","Ich habe die nicht gelÃ¶ste Aufgabe am Schluss sogar abgeschrieben. Was soll der Fehler sein?


		public static Dictionary<string, string> Prs(string qst)
		{
			string[] pts = qst.Split('&');
			var qry = new Dictionary<string, string>();

			foreach (string prt in pts)
			{
				string[] stt = prt.Split('=');
				string prm = stt[0];
				string pmt = stt[1];

				qry.Add(prm, pmt);
			}

			return qry;
		}","Ich denke, die Verwendung sinnvoller Variablennamen war auf jeden Fall ein Thema hier. Die Leserlichkeit weniger Zeilen Code um den Zusammenhang zu verstehen war vielleicht auch Bestandteil.",
724b59f61e234fc6ac01dcac8458f280,"['readini.semantic.abbrev.html', 'codestructure.semantic.single.html', 'countchildren.semantic.normal.html', 'parsequerystring.syntactic.single.html', 'histogram.syntactic.normal.html', 'concatlists.syntactic.abbrev.html']",,"Hier wurde untersucht, wie einfach/schwierig es ist, Fehler zu finden, wenn die Namen der verwendeten Variablen bewusst ""kryptisch"" sind und jeweils nur kleine Sinnabschnitte sichtbar sind, so dass gerade verborgene Information ""im Hinterkopf"" behalten warden muss.",Nein.
6c63ccd6bf4140ec9e6eacef7759eec3,"['readini.semantic.single.html', 'codestructure.semantic.normal.html', 'countchildren.semantic.abbrev.html', 'parsequerystring.syntactic.abbrev.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.single.html']",,wie aufmerksam wird Quellcode gelesen,nein
5a235201bdc34ac7b7ef656c1814cda7,"['readini.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'codestructure.semantic.single.html', 'histogram.syntactic.normal.html', 'concatlists.syntactic.single.html', 'parsequerystring.syntactic.abbrev.html']",,Wie sich die Benennung von Variablen / Methoden etc. auf die Lesbarkeit / Wartbarkeit von Code auswirkt.,
99e6e65f2e884c2797149661e60a53b3,"['countchildren.semantic.abbrev.html', 'readini.semantic.single.html', 'codestructure.semantic.normal.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.normal.html', 'histogram.syntactic.single.html']",Viel Erfolg mit der Studie und viele GrÃ¼ÃŸe von Alex Susdorf!,Die AbhÃ¤ngigkeit der Lesbarkeit des Codes von Variablen- und Metodennamen.,"Nein,"
dfc5e16eab524e5a974516e180e91b70,"['codestructure.semantic.abbrev.html', 'readini.semantic.normal.html', 'countchildren.semantic.single.html', 'concatlists.syntactic.single.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.normal.html']","Die Seite ist super gemacht, Johannes.
Hut ab!","Ich denke, es geht darum Metriken zu finden, die die Analyse von Fehlern im Code zu vereinfachen.
Ich bin gespannt auf die Auswertung zum DevOpenSpace! :-)",Nein
793e10c95a9b409a8fe11d39457b75c1,"['codestructure.semantic.single.html', 'countchildren.semantic.abbrev.html', 'readini.semantic.normal.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.normal.html', 'parsequerystring.syntactic.single.html']","Nachdem SPACE gedrÃ¼ckt wurde, sollte das Feld zur Eingabe der Zeilennummer fokussiert werden. AuÃŸerdem sollte die Zeile auch per Klick auswÃ¤hlbar sein.
Ansonsten eine sehr ansprechende, freundliche UI - hat SpaÃŸ gemacht! ;-)",Haben verschiedene Codestile (vor allem sprechende Namen) Einfluss auf das Verhalten/den Ãœberblick des Entwicklers?,
0b81eaf7df8e42eaaebeb248b8ff1691,"['codestructure.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'readini.semantic.single.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.single.html', 'parsequerystring.syntactic.abbrev.html']",Empathic code rulez :-),"Schnelle Erfassung/Fokusierung von Code
PrÃ¼fung KurzzeitgedÃ¤chnis anhand der ScrollhÃ¤ufigkeit",
28085f503a364fecbacf220dc34c8de7,"['countchildren.semantic.single.html', 'codestructure.semantic.abbrev.html', 'readini.semantic.normal.html', 'histogram.syntactic.abbrev.html', 'concatlists.syntactic.single.html', 'parsequerystring.syntactic.normal.html']",,-,
9651114c58eb4b6388d288ef0d6482d8,"['histogram.semantic.single.html', 'concatlists.semantic.normal.html', 'parsequerystring.semantic.abbrev.html', 'countchildren.syntactic.normal.html', 'codestructure.syntactic.abbrev.html', 'readini.syntactic.single.html']","Hi Johannes, bin mal auf die Auswertung gespannt. Hoffentlich beim Openspace in Karlsruhe.

GruÃŸ Stefan (CrazyRaisy)",Lesbarkeit von Code?,
b2e601f093aa4719afc310cb84cbeda1,"['countchildren.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'readini.semantic.single.html', 'concatlists.syntactic.single.html', 'histogram.syntactic.normal.html', 'parsequerystring.syntactic.abbrev.html']","Spannende Studie, bin auf das Ergebnis gespannt.","Lesbarkeit von Code und die Auswirkung von Variablennamen auf die Wahrscheinlichkeit, Fehler zu finden.",Nein
e9b97f42564f491b82dae67664b52d1e,"['countchildren.semantic.normal.html', 'codestructure.semantic.abbrev.html', 'readini.semantic.single.html', 'parsequerystring.syntactic.normal.html', 'concatlists.syntactic.abbrev.html', 'histogram.syntactic.single.html']",Das Icon der Seite is ja mal verdammt sÃ¼ÃŸ! Mich wÃ¼rden die Variablen lÃ¤ngen im Kontext von Berechnungen/Wissenschaftlichem Code interessieren :),Die AbhÃ¤ngigkeit von der Zeit und Fehlergenauigkeit auf die Aussagekraft und LÃ¤nge von Variablennamen.,
95bec2483350474baed89ca83e410877,"['concatlists.semantic.abbrev.html', 'parsequerystring.semantic.normal.html', 'histogram.semantic.single.html', 'countchildren.syntactic.abbrev.html', 'readini.syntactic.normal.html', 'codestructure.syntactic.single.html']",,Das Verschieben des Sichtfeldes in Bezug auf das gesamte Codekonstrukt.,Nein.
53ab11ca61944adb8dda003934e9f48f,"['readini.semantic.normal.html', 'countchildren.semantic.abbrev.html', 'codestructure.semantic.single.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.normal.html', 'concatlists.syntactic.single.html']",,Die Bedeutung von bedeutungsvollen Variablennamen auf die lesbarkeit und verstÃ¤ndlichkeit von Code.,
50971075eb83460da5de1db4e1274c32,"['countchildren.semantic.single.html', 'codestructure.semantic.normal.html', 'readini.semantic.abbrev.html', 'histogram.syntactic.normal.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html']",,Weshalb man sprechende Namen verwenden sollte?,nein
2810c173dba347bc93c326ec21d35a53,"['parsequerystring.semantic.normal.html', 'concatlists.semantic.single.html', 'histogram.semantic.abbrev.html', 'countchildren.syntactic.single.html', 'codestructure.syntactic.normal.html', 'readini.syntactic.abbrev.html']",,Die Lesbarkeit und VerstÃ¤ndlichkeit des Quellcodes.,
d2c8b05698e9407fb61794470e36d026,"['concatlists.semantic.normal.html', 'parsequerystring.semantic.abbrev.html', 'histogram.semantic.single.html', 'codestructure.syntactic.normal.html', 'countchildren.syntactic.single.html', 'readini.syntactic.abbrev.html']",,"Es soll herausgefunden werden, ob es Muster beim Umgang mit Code zur Fehlerhebung gibt - die womÃ¶glich noch mit Erfahrung usw. korrelieren.",
b163ccefdf5a480f88fa102653cd5d3f,"['histogram.semantic.normal.html', 'concatlists.semantic.abbrev.html', 'parsequerystring.semantic.single.html', 'readini.syntactic.abbrev.html', 'countchildren.syntactic.single.html', 'codestructure.syntactic.normal.html']","In Abschnitt 4 habe ich eigentlich gar nicht auf die Variablennamen und deren Bedeutung geachtet, sondern nur verfolgt, welche Variable welchen Typ hat, und ob Operationen darauf kompilieren wÃ¼rden.",Der Einfluss Variablennamen auf die Lesbarkeit von Code - dank des gleitenden Sichtbereiches lÃ¤sst sich bestimmt toll quantifizieren wie oft der Blick gewandert ist um die Bedeutung von Variablen ins GedÃ¤chtnis zu rufen. Bei einer Folgestudie dann bitte eye-tracking devices fÃ¼r alle! ;-),
95992f0bc4de4027bb6926136bd0b955,"['histogram.semantic.abbrev.html', 'concatlists.semantic.normal.html', 'parsequerystring.semantic.single.html', 'readini.syntactic.normal.html', 'codestructure.syntactic.single.html', 'countchildren.syntactic.abbrev.html']",,AbhÃ¤ngigkeit der LÃ¶sungsdauer von der Klarheit der Bezeichner,
79ccccf38e4846acae075619a28ba44f,"['concatlists.semantic.normal.html', 'parsequerystring.semantic.single.html', 'histogram.semantic.abbrev.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.normal.html', 'readini.syntactic.single.html']",,Lesbarkeit des Codes,Nein
8d6735d28cc34027a3b9368b97eced24,"['parsequerystring.semantic.abbrev.html', 'histogram.semantic.single.html', 'concatlists.semantic.normal.html', 'codestructure.syntactic.abbrev.html', 'countchildren.syntactic.single.html', 'readini.syntactic.normal.html']",,"Wie gut ich mich im Code zurecht finde, auch wenn schlechte Namen gewÃ¤hlt wurden.",
6184095bb30f4300bdde9900b3f62c0b,"['parsequerystring.semantic.normal.html', 'concatlists.semantic.abbrev.html', 'histogram.semantic.single.html', 'codestructure.syntactic.normal.html', 'countchildren.syntactic.abbrev.html', 'readini.syntactic.single.html']",Tolle Sache!,Einfluss von Kommentaren / Variablenbenennung auf das Code-VerstÃ¤ndnis,nein
e124ac59b9b34d9a80ab531271df50d0,"['concatlists.semantic.abbrev.html', 'histogram.semantic.normal.html', 'parsequerystring.semantic.single.html', 'readini.syntactic.abbrev.html', 'codestructure.syntactic.normal.html', 'countchildren.syntactic.single.html']","Im Syntaxteil: falsche Zuweisung/Verwendung von Typen kann man auch als Syntaxfehler ansehen - damit wÃ¤re der Test wesentlich schwieriger geworden (Ã¤hnlich Teil 1 wenn z.B. a[0] fÃ¼r ein nicht-array aufgetaucht wÃ¤re)

PersÃ¶nlich finde ich die Beispiele auch zu kurz und zu extrem um wirklich etwas aussagen zu kÃ¶nnen - aber was weiÃŸ ich schon von dem Zeugs ;)",ob gut gewÃ¤hlte Namen beim Coden helfen,"naja beim ersten Beispiel hÃ¤tte ich es als Fehler angesehen, dass scheinbar die beiden Teile als gleichlang vorausgesetzt werden - mÃ¶glicherweise habe ich einen etwaigen Kommentar Ã¼berlessen"
d72c3147ef054a93ba821880a97d910b,"['concatlists.semantic.abbrev.html', 'parsequerystring.semantic.single.html', 'histogram.semantic.normal.html', 'countchildren.syntactic.normal.html', 'codestructure.syntactic.single.html', 'readini.syntactic.abbrev.html']","c# ist eine relativ rÃ¼ckstÃ¤ndige Sprache, die generell nicht in Prosa verwandelt werden kann. VB.Net ist da wesentlich weiter entwickelt, damit kann man wirklich schÃ¶nen Code schreiben (den man auch wirklich laut vorlesen kann). Und darÃ¼ber hinaus werden Syntaxfehler (in VisualStudio) schon vor dem compilieren angezeigt (direkt nachdem man die Zeile fertig hat) - damit hÃ¤tte sich der letzte Teil des Tests erÃ¼brigt.",Ob es mit sprechenden Variablennamen einfacher ist Fehler zu finden.,
9c5d3cd1a4fe4b0094c5468fbc426e60,"['parsequerystring.semantic.single.html', 'histogram.semantic.normal.html', 'concatlists.semantic.abbrev.html', 'countchildren.syntactic.single.html', 'readini.syntactic.normal.html', 'codestructure.syntactic.abbrev.html']",Die Reihenfolge der Abarbeitung hat ebenso Einfluss. Bei der ersten Frage wird vermutlich mehr Zeit gebraucht.,Einfluss von sinnvollen Variablennamen auf die Dauer bis zur Beantwortung.,
04c8566f6ddf4e619b975390f556151d,"['parsequerystring.semantic.single.html', 'concatlists.semantic.abbrev.html', 'histogram.semantic.normal.html', 'codestructure.syntactic.single.html', 'countchildren.syntactic.abbrev.html', 'readini.syntactic.normal.html']",,Analytisches Denken,Nein
ebabc82ce5ce45728c9b646e7e706ed5,"['parsequerystring.semantic.single.html', 'histogram.semantic.abbrev.html', 'concatlists.semantic.normal.html', 'readini.syntactic.normal.html', 'codestructure.syntactic.abbrev.html', 'countchildren.syntactic.single.html']",,Wie oft man zurÃ¼ckblÃ¤ttern musste ...,Nein
35d452fb3f904f859ab50119684f0626,"['concatlists.semantic.single.html', 'parsequerystring.semantic.abbrev.html', 'histogram.semantic.normal.html', 'countchildren.syntactic.normal.html', 'readini.syntactic.abbrev.html', 'codestructure.syntactic.single.html']",,Lesbarkeit von Code bei Verwendung kryptischer bzw. unlogischer Variablenbezeichnern.,
111e089bbc894e30bcbe2ef30dc7a000,"['parsequerystring.semantic.abbrev.html', 'concatlists.semantic.normal.html', 'histogram.semantic.single.html', 'readini.syntactic.single.html', 'countchildren.syntactic.normal.html', 'codestructure.syntactic.abbrev.html']",,Bezeichnerbenamung.,
8986b0d83d714530a409a8ee004d42f9,"['parsequerystring.semantic.normal.html', 'histogram.semantic.single.html', 'concatlists.semantic.abbrev.html', 'readini.syntactic.normal.html', 'countchildren.syntactic.single.html', 'codestructure.syntactic.abbrev.html']",,Dauer des VerstÃ¤ndises zwichen gut und schlecht geschriebenen Code.,
cf07ba7018904d2bb8b2c68292e38ea7,"['parsequerystring.semantic.abbrev.html', 'histogram.semantic.normal.html', 'concatlists.semantic.single.html', 'readini.syntactic.abbrev.html', 'countchildren.syntactic.normal.html', 'codestructure.syntactic.single.html']",,Wahrnehmungsverhalten von Programmierern,nein
c7a43632f1de437785d9c48a1eb792f9,"['concatlists.semantic.single.html', 'parsequerystring.semantic.normal.html', 'histogram.semantic.abbrev.html', 'countchildren.syntactic.single.html', 'codestructure.syntactic.abbrev.html', 'readini.syntactic.normal.html']",Warum nennt man Methoden a und Parameter b?,Ist mir egal ich habe gerade ein schwieriges Problem und wollte etwas Gedanklichen abstand gewinnen durch den Teilnahme.,Nein
6ca65975dc4c4c639de22dcc264f4367,"['histogram.semantic.single.html', 'concatlists.semantic.abbrev.html', 'parsequerystring.semantic.normal.html', 'codestructure.syntactic.abbrev.html', 'readini.syntactic.normal.html', 'countchildren.syntactic.single.html']","Ich empfand es als etwas hinderlich, dass immer nur ein sehr kleiner Teil des Codes sichtbar war. Falls dies also als Hilfe gedacht ist, finde ich es nicht gelungen.
Wenn es dagegen fÃ¼r die Studie von Bedeutung ist, kann man natÃ¼rlich nichts dagegen sagen.","Wie Code aussehen muss, damit er leserlich ist (insbesondere die Namen von Bezeichnern)",
963755bee897486fad13e970fefa5bc2,"['parsequerystring.semantic.normal.html', 'histogram.semantic.abbrev.html', 'concatlists.semantic.single.html', 'readini.syntactic.single.html', 'codestructure.syntactic.normal.html', 'countchildren.syntactic.abbrev.html']",,-,nein
2289142f6fec41ff85bf3900b46184d6,"['concatlists.semantic.single.html', 'histogram.semantic.normal.html', 'parsequerystring.semantic.abbrev.html', 'codestructure.syntactic.single.html', 'readini.syntactic.normal.html', 'countchildren.syntactic.abbrev.html']",,Schnelligkeit des Findens von Fehlern bei unterschiedlich ausfÃ¼hrlich benannten Variablen.,
04b90f6230f942f39a3ac3dfc3bfe60b,"['codestructure.semantic.single.html', 'readini.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'concatlists.syntactic.normal.html', 'histogram.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html']",,"Wie gut kann man Anweisungen wahrnehmen, verstehen und umsetzten",
bea6e164109b414a816351c589783277,"['codestructure.semantic.normal.html', 'readini.semantic.single.html', 'countchildren.semantic.abbrev.html', 'histogram.syntactic.normal.html', 'parsequerystring.syntactic.single.html', 'concatlists.syntactic.abbrev.html']",,Lesbarkeit von Code im Bezug auf Naming von Variablen/Methoden,nein
4f5dc40a386d4094a7d2cbcb5c71fa32,"['codestructure.semantic.single.html', 'readini.semantic.normal.html', 'countchildren.semantic.abbrev.html', 'histogram.syntactic.single.html', 'parsequerystring.syntactic.normal.html', 'concatlists.syntactic.abbrev.html']",,"Wie immer bei den Psychologen: Das, wo ich Ã¼berhaupt nicht dran gedacht habe.",nein
4458c5d621cd4d28b71cc805a900fc3f,"['readini.semantic.abbrev.html', 'codestructure.semantic.normal.html', 'countchildren.semantic.single.html', 'parsequerystring.syntactic.abbrev.html', 'concatlists.syntactic.single.html', 'histogram.syntactic.normal.html']",Nach betÃ¤tigen der Leertaste den Tastatur-Fokus direkt auf das Eingabefeld fÃ¼r die Zeilennummer setzen. (IE 10.0),Codelesbarkeit,nein
da43632cf8fd4944889f7aee6e10f977,"['readini.semantic.abbrev.html', 'countchildren.semantic.single.html', 'codestructure.semantic.normal.html', 'concatlists.syntactic.single.html', 'parsequerystring.syntactic.abbrev.html', 'histogram.syntactic.normal.html']",,"Ob ich Johannes Hofmeister kenne :)
Oder ob man Quelltext schnell lesen und korrigieren kann",
5b2eda05b89a4525b6d212441147e785,"['readini.semantic.abbrev.html', 'countchildren.semantic.normal.html', 'codestructure.semantic.single.html', 'histogram.syntactic.normal.html', 'concatlists.syntactic.single.html', 'parsequerystring.syntactic.abbrev.html']",,Auswirkung von sinnvollen Bezeichnern auf die VerstÃ¤ndlichkeit des Codes.,
63e0ee5b9fb34264accd8fb7091bc7b8,"['codestructure.semantic.abbrev.html', 'countchildren.semantic.single.html', 'readini.semantic.normal.html', 'histogram.syntactic.abbrev.html', 'concatlists.syntactic.normal.html', 'parsequerystring.syntactic.single.html']",,Variablenbezeichungen kurz vs. lesbar,
b7fb4c0597f84a4db660bf30f47943cd,"['countchildren.semantic.normal.html', 'readini.semantic.abbrev.html', 'codestructure.semantic.single.html', 'parsequerystring.syntactic.abbrev.html', 'histogram.syntactic.normal.html', 'concatlists.syntactic.single.html']",,"Wenn die Beispiele komplexer wÃ¤ren, wÃ¼rde ich auf die Reihenfolge tippen, in der Code gelesen wird (analog zu Blickrichtungsmessungen bei Nutzer-Tests fÃ¼r GUIs)",die Bedienung per Tastatur war manchmal hakelig
c2ae0176fa4b4f20bacf872b9795bd6f,"['countchildren.semantic.single.html', 'codestructure.semantic.normal.html', 'readini.semantic.abbrev.html', 'histogram.syntactic.normal.html', 'concatlists.syntactic.abbrev.html', 'parsequerystring.syntactic.single.html']","Hast Du alle Algorithmen in den 3 Abstufungen (ganz kryptische Variablen, halb kryptisch, leserlich) gefertigt und gibst jedem Teilnehmer zufÃ¤llige Kombinationen davon, um den Einfluss der verschiedenen Algorithmen zu vernachlÃ¤ssigen? Bestimmt. Ist cool 8-)",Dein Lieblingsthema: gute Benamsung im code - und der fÃ¶rdert einen schnelleren Ãœberblick.,nein
a40661c57a2643fbb5f2ce0d59c38103,"['histogram.semantic.single.html', 'parsequerystring.semantic.abbrev.html', 'concatlists.semantic.normal.html', 'codestructure.syntactic.single.html', 'countchildren.syntactic.normal.html', 'readini.syntactic.abbrev.html']",,VerstÃ¤ndlichkeit von Semantik im Vergleich zur Syntax,
494bde147af24a6eb791f5499fb5be54,"['histogram.semantic.normal.html', 'concatlists.semantic.single.html', 'parsequerystring.semantic.abbrev.html', 'countchildren.syntactic.abbrev.html', 'readini.syntactic.single.html', 'codestructure.syntactic.normal.html']",,Wie Entwickler den Code lesen und verstehen.,
3f8aa1da75804e0c9ceec0bb3b0f7b33,"['histogram.semantic.abbrev.html', 'parsequerystring.semantic.single.html', 'concatlists.semantic.normal.html', 'codestructure.syntactic.abbrev.html', 'readini.syntactic.single.html', 'countchildren.syntactic.normal.html']",,"Erfassung von Code, welcher mit unterschiedlichen Stilen bezÃ¼glich der Namengebung der Variablen etc. geschrieben wurde?",
0c31c982546a457ba951c6a3f5df6660,"['histogram.semantic.abbrev.html', 'parsequerystring.semantic.normal.html', 'concatlists.semantic.single.html', 'readini.syntactic.single.html', 'codestructure.syntactic.abbrev.html', 'countchildren.syntactic.normal.html']",,"Ob ich im 23 Uhr noch Code lesen kann?

VerhÃ¤ltnis von unterschiedlichen AnsÃ¤tzen Code zu schreiben. D.h. reicht die Kurzform fÃ¼r Variablen etc. oder sind sprechende Texte besser? Was ist sprechend?",nein.
5966681c81e2483e9c54da2564037946,"['concatlists.semantic.single.html', 'histogram.semantic.abbrev.html', 'parsequerystring.semantic.normal.html', 'countchildren.syntactic.abbrev.html', 'codestructure.syntactic.single.html', 'readini.syntactic.normal.html']",,Erkennungsmuster fÃ¼r Fehler; Zusammenhang der Erfahrung mit der Geschwindigkeit der Fehlererkennung,
10589798c7e947a78944002f3027cf3d,"['concatlists.semantic.normal.html', 'histogram.semantic.abbrev.html', 'parsequerystring.semantic.single.html', 'codestructure.syntactic.single.html', 'readini.syntactic.abbrev.html', 'countchildren.syntactic.normal.html']",,Wie leicht Fehler im Code erkannt werden kÃ¶nnen,
32e434cccc3146cf9c3c8b6426298dd2,"['concatlists.semantic.abbrev.html', 'parsequerystring.semantic.single.html', 'histogram.semantic.normal.html', 'countchildren.syntactic.normal.html', 'codestructure.syntactic.single.html', 'readini.syntactic.abbrev.html']",Webseite ist toll gemacht!,Gut gewaehlte Variablennamen machen Code lesbarer.,Nein
0bcad9ad606e44359d059b9deaf9279d,"['concatlists.semantic.abbrev.html', 'histogram.semantic.single.html', 'parsequerystring.semantic.normal.html', 'codestructure.syntactic.normal.html', 'readini.syntactic.abbrev.html', 'countchildren.syntactic.single.html']",,Die Lesbarkeit von Quellcode anhand der Bearbeitungszeit der Aufgaben.,
