participant;trial;task_order;snippet;task;condition;state;linenumber;expected_linenumber;correction;description;duration_s;dialog_s;first_impression_s;thinking_time_s;distance_traveled;average_position;moves
7140e75721074680a24636577baa4c2c;5;2;codestructure;syntactic;normal;success;18;18;"structure.Add(character);";Semikolon fehlte am Ende.;181.77;12.686;169.084;12.686;128.0;12.421875;128
0ba6d88b74f04445941144bfc0fa222d;0;0;countchildren;semantic;single;success;17;17;"int h = int.Parse(f[e]);";"int h = int.Parse(f[g]);";115.988;15.516;100.471;15.516;184.0;9.83695652173913;184
0ba6d88b74f04445941144bfc0fa222d;1;1;readini;semantic;normal;success;21;21;"settings.Add(identifier, line);";"settings.Add(identifier, property);";49.485;14.62;34.865;14.62;17.0;11.882352941176471;17
0ba6d88b74f04445941144bfc0fa222d;2;2;codestructure;semantic;abbrev;success;18;18;"blc.Add(chr);";"str.Add(chr);";77.06;8.34;68.72;8.34;97.0;10.814432989690722;97
0ba6d88b74f04445941144bfc0fa222d;3;0;histogram;syntactic;abbrev;success;18;18;"frq[chr] +- 1;";"frq[chr] += 1;";40.004;12.755;27.249;12.755;12.0;9.5;12
0ba6d88b74f04445941144bfc0fa222d;4;1;parsequerystring;syntactic;single;success;19;19;"string h = f{1];";"string h = f[1];";32.308;8.052;24.256;8.052;13.0;10.0;13
0ba6d88b74f04445941144bfc0fa222d;5;2;concatlists;syntactic;normal;success;21;21;result[index + length] = second;"result[index + length] = second;";36.683;7.276;29.407;7.276;16.0;11.5;16
b9d7ece73f8e4586959c39a74934d284;0;0;codestructure;semantic;single;success;18;18;"d.Add(f);";die Rückgabeliste wurde nie gefüllt;130.931;31.759;99.172;31.759;87.0;12.03448275862069;87
b9d7ece73f8e4586959c39a74934d284;1;1;readini;semantic;abbrev;success;21;21;"stt.Add(idn, prp);";variable prp wurde nicht in das Rückhabe Dictionary gelegt;133.002;29.687;103.315;29.687;95.0;13.357894736842105;95
b9d7ece73f8e4586959c39a74934d284;2;2;countchildren;semantic;normal;success;17;17;"int personAge = int.Parse(numbers[index]);";children wurde statt Index verwendet. Da alle durchlaufen werden sollen ist hier die Zählervariable falsch;82.242;34.736;47.506;34.736;30.0;15.1;30
b9d7ece73f8e4586959c39a74934d284;3;0;concatlists;syntactic;normal;success;21;21;"result[index + length] = second;";Lol :) Strichpunkt hat gefehlt;248.174;14.785;233.389;14.785;79.0;15.189873417721518;79
b9d7ece73f8e4586959c39a74934d284;4;1;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";+- gibt es nicht. Es ist entweder +=1 oder -=1 gemeint;76.4;27.1;49.3;27.1;35.0;12.142857142857142;35
b9d7ece73f8e4586959c39a74934d284;5;2;parsequerystring;syntactic;single;success;19;19;"string h = f[1];";Klammerung ist falsch;42.442;17.843;24.599;17.843;13.0;10.0;13
00b7d4aba419442ba0f98b006d885575;0;0;readini;semantic;normal;success;21;21;"settings.Add(identifier, property);";;95.883;19.107;76.776;19.107;36.0;14.38888888888889;36
00b7d4aba419442ba0f98b006d885575;1;1;codestructure;semantic;single;success;18;18;"d.Add(f);";;69.059;7.675;61.384;7.675;59.0;12.23728813559322;59
00b7d4aba419442ba0f98b006d885575;2;2;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";;64.515;11.067;53.448;11.067;38.0;9.263157894736842;38
00b7d4aba419442ba0f98b006d885575;3;0;concatlists;syntactic;abbrev;success;21;21;"rsl[idx + len] = scn;";;154.444;6.979;147.465;6.979;173.0;14.404624277456648;173
00b7d4aba419442ba0f98b006d885575;4;1;histogram;syntactic;single;success;18;18;"c[e] += 1;";;63.131;9.779;53.352;9.779;41.0;11.878048780487806;41
00b7d4aba419442ba0f98b006d885575;5;2;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";;35.156;9.37;25.785;9.37;16.0;9.75;16
e3d36e7a919a42d4859dae9722239bda;0;0;countchildren;semantic;single;success;17;17;"int h = int.Parse(f[g]);";"Der Wert aus dem Array ""ages"" soll anhand der iterators der Schleife genommen werden und nicht e.";125.62;57.271;68.349;57.271;140.0;13.471428571428572;140
e3d36e7a919a42d4859dae9722239bda;1;1;readini;semantic;abbrev;success;21;21;"stt.Add(idn, prp);";Der Wert und nicht die ganze Zeile kommt hier rein.;63.649;19.169;44.48;19.169;107.0;12.242990654205608;107
e3d36e7a919a42d4859dae9722239bda;2;2;codestructure;semantic;normal;success;18;18;"structure.Add(character);";Die Ausgabe soll gefüllt werden und nicht die Blockzeichen;77.781;22.638;55.143;22.638;96.0;13.083333333333334;96
e3d36e7a919a42d4859dae9722239bda;3;0;parsequerystring;syntactic;single;success;19;19;"string h = f[1];";Falsche Klammer;22.883;14.178;8.704;14.178;15.0;11.0;15
e3d36e7a919a42d4859dae9722239bda;4;1;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";+- gibts nciht;25.85;13.905;11.945;13.905;34.0;11.970588235294118;34
e3d36e7a919a42d4859dae9722239bda;5;2;concatlists;syntactic;normal;success;21;21;"result[index + length] = second;";Semikolon fehlte;39.927;9.294;30.632;9.294;61.0;14.639344262295081;61
be1b3b6aa0f2481cb47a38d935c9d5f0;0;0;codestructure;semantic;normal;success;18;18;"structure.Add(character);";;118.687;16.841;101.845;16.841;71.0;10.859154929577464;71
be1b3b6aa0f2481cb47a38d935c9d5f0;1;1;countchildren;semantic;single;success;17;17;"int h = int.Parse(f[g]);";;277.406;10.783;266.623;10.783;351.0;11.327635327635328;351
be1b3b6aa0f2481cb47a38d935c9d5f0;2;2;readini;semantic;abbrev;success;21;21;"stt.Add(idn, prp);";;87.675;11.828;75.847;11.828;57.0;11.228070175438596;57
be1b3b6aa0f2481cb47a38d935c9d5f0;3;0;histogram;syntactic;normal;success;18;18;"frequencies[character] += 1;";;35.463;14.463;21.0;14.463;15.0;11.0;15
be1b3b6aa0f2481cb47a38d935c9d5f0;4;1;parsequerystring;syntactic;abbrev;success;19;19;"string pmt = stt[1];";;36.503;7.199;29.304;7.199;31.0;14.419354838709678;31
be1b3b6aa0f2481cb47a38d935c9d5f0;5;2;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";;20.366;6.286;14.08;6.286;21.0;12.380952380952381;21
42efb260aa64492d9423adcbc860eafe;0;0;readini;semantic;single;success;21;21;"c.Add(g, h);";;116.296;19.347;88.865;27.43;138.0;12.5;138
42efb260aa64492d9423adcbc860eafe;1;1;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";;129.507;12.104;117.403;12.104;161.0;11.962732919254659;161
42efb260aa64492d9423adcbc860eafe;2;2;codestructure;semantic;normal;success;18;18;"structure.Add(character);";;90.356;16.432;73.924;16.432;101.0;12.96039603960396;101
42efb260aa64492d9423adcbc860eafe;3;0;parsequerystring;syntactic;single;success;19;19;"string h = f[1];";;29.664;9.213;20.45;9.213;21.0;13.428571428571429;21
42efb260aa64492d9423adcbc860eafe;4;1;concatlists;syntactic;abbrev;success;21;21;"rsl[idx + len] = scn;";;115.476;6.423;109.053;6.423;136.0;14.536764705882353;136
42efb260aa64492d9423adcbc860eafe;5;2;histogram;syntactic;normal;success;18;18;"frequencies[character] += 1;";;25.46;7.115;18.345;7.115;27.0;11.666666666666666;27
fb42e2ec502b42df9a937df5d3964d8d;0;0;readini;semantic;single;success;21;21;"c.Add(g, h);";Es sollte der Wert hinzugefügt werden, der aus der Zeile (g=h) geparst wurde;134.043;50.77;83.273;50.77;53.0;12.377358490566039;53
fb42e2ec502b42df9a937df5d3964d8d;1;1;codestructure;semantic;abbrev;success;18;18;"str.Add(chr);";Das Zeichen sollte zur Liste hinzugefügt werden, die die Ergebnisse hält.;129.081;32.049;97.032;32.049;75.0;12.493333333333334;75
fb42e2ec502b42df9a937df5d3964d8d;2;2;countchildren;semantic;normal;success;17;17;"int personAge = int.Parse(numbers[index]);";Der Index zum Suchen im Array sollte der Laufindex sein, nicht die Anzahl der bisherigen Treffer.;131.298;45.555;85.743;45.555;36.0;13.055555555555555;36
fb42e2ec502b42df9a937df5d3964d8d;3;0;histogram;syntactic;single;success;18;18;"c[e] += 1;";+= zum Erhöhen um 1 (oder gleich ++);78.23;46.015;32.215;46.015;14.0;10.5;14
fb42e2ec502b42df9a937df5d3964d8d;4;1;concatlists;syntactic;abbrev;success;21;21;"rsl[idx + len] = scn;";Ein Semikolon fehlt;36.516;13.828;22.688;13.828;17.0;12.0;17
fb42e2ec502b42df9a937df5d3964d8d;5;2;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";Eckige Klammer statt geschweifter;36.488;18.057;18.431;18.057;15.0;11.0;15
f8b3fd416fa2463f867ae66631bd3ad5;0;0;codestructure;semantic;normal;success;18;18;"structure.Add(character);";Hinzufügen des Chars in falsche Liste;117.357;52.119;53.567;63.79;58.0;14.655172413793103;58
f8b3fd416fa2463f867ae66631bd3ad5;1;1;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";Falscher Index-Zähler benutzt;106.847;29.507;77.34;29.507;59.0;13.847457627118644;59
f8b3fd416fa2463f867ae66631bd3ad5;2;2;readini;semantic;single;success;21;21;"c.Add(g, h);";Es wird immer die Rawline geaddet, nicht der Wert des Settings;105.813;29.214;76.599;29.214;62.0;13.596774193548388;62
f8b3fd416fa2463f867ae66631bd3ad5;3;0;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";Falsche Klammer;28.103;15.647;12.456;15.647;17.0;12.0;17
f8b3fd416fa2463f867ae66631bd3ad5;4;1;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";Eine Taste daneben in US;30.58;21.284;9.296;21.284;17.0;11.647058823529411;17
f8b3fd416fa2463f867ae66631bd3ad5;5;2;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";Der Klassiker;16.987;9.035;7.952;9.035;17.0;12.0;17
5349d110076847cdac428f7e3e61e494;0;0;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";num[idx] anstatt num[chl];553.647;38.638;515.009;38.638;193.0;13.336787564766839;193
5349d110076847cdac428f7e3e61e494;1;1;codestructure;semantic;single;success;18;18;"d.Add(f);";d.Add(f) statt c.Add(f);259.39;25.254;234.136;25.254;308.0;10.9512987012987;308
5349d110076847cdac428f7e3e61e494;2;2;readini;semantic;normal;success;21;21;"settings.Add(identifier, property);";settings.Add(identifier, property) statt settings.Add(identifier, line);63.534;24.406;39.128;24.406;35.0;14.628571428571428;35
5349d110076847cdac428f7e3e61e494;3;0;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";"; am Ende vergessen";70.428;25.572;44.856;25.572;28.0;13.071428571428571;28
5349d110076847cdac428f7e3e61e494;4;1;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";[ statt {;40.682;17.746;22.936;17.746;20.0;11.5;20
5349d110076847cdac428f7e3e61e494;5;2;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";+= statt +-;48.322;16.098;32.224;16.098;26.0;11.73076923076923;26
87d7f6da24bf4ddc81154f0f3423c99f;0;0;readini;semantic;normal;success;21;21;"settings.Add(identifier, property);";;49.259;10.554;38.704;10.554;24.0;13.083333333333334;24
87d7f6da24bf4ddc81154f0f3423c99f;1;1;countchildren;semantic;single;success;17;17;"int h = int.Parse(f[g]);";;70.381;16.026;54.355;16.026;29.0;15.03448275862069;29
87d7f6da24bf4ddc81154f0f3423c99f;2;2;codestructure;semantic;abbrev;success;18;18;"str.Add(chr);";;48.92;8.582;40.338;8.582;33.0;13.333333333333334;33
87d7f6da24bf4ddc81154f0f3423c99f;3;0;histogram;syntactic;single;success;18;18;"c[e] += 1;";;31.877;6.476;25.401;6.476;17.0;11.176470588235293;17
87d7f6da24bf4ddc81154f0f3423c99f;4;1;concatlists;syntactic;normal;success;21;21;"result[index + length] = second;";;32.788;5.817;26.971;5.817;27.0;13.296296296296296;27
87d7f6da24bf4ddc81154f0f3423c99f;5;2;parsequerystring;syntactic;abbrev;success;19;19;"string pmt = stt[1];";;25.634;6.226;19.408;6.226;25.0;12.88;25
724b59f61e234fc6ac01dcac8458f280;0;0;readini;semantic;abbrev;success;21;21;"stt.Add(idn, prp);";Store property value and not whole line;80.729;23.898;56.83;23.898;76.0;13.802631578947368;76
724b59f61e234fc6ac01dcac8458f280;1;1;codestructure;semantic;single;success;18;18;"d.Add(f);";Add characters to block not to terminating characters to e found;117.583;51.48;66.103;51.48;91.0;10.648351648351648;91
724b59f61e234fc6ac01dcac8458f280;2;2;countchildren;semantic;normal;success;17;17;"int personAge = int.Parse(numbers[index]);";Use list index and not result;162.803;34.46;128.342;34.46;164.0;11.817073170731707;164
724b59f61e234fc6ac01dcac8458f280;3;0;parsequerystring;syntactic;single;success;19;19;"string h = f[1];";{ instead of [;54.432;18.242;36.19;18.242;39.0;11.35897435897436;39
724b59f61e234fc6ac01dcac8458f280;4;1;histogram;syntactic;normal;success;18;18;"frequencies[character] += 1;";;48.386;11.297;37.089;11.297;28.0;11.892857142857142;28
724b59f61e234fc6ac01dcac8458f280;5;2;concatlists;syntactic;abbrev;success;21;21;"rsl[idx + len] = scn;";;107.574;6.071;101.503;6.071;86.0;13.023255813953488;86
6c63ccd6bf4140ec9e6eacef7759eec3;0;0;readini;semantic;single;success;21;21;"c.Add(g, h);";;107.52;13.585;93.934;13.585;116.0;12.275862068965518;116
6c63ccd6bf4140ec9e6eacef7759eec3;1;1;codestructure;semantic;normal;success;18;18;structure.Add(character);;102.039;25.017;77.022;25.017;102.0;11.892156862745098;102
6c63ccd6bf4140ec9e6eacef7759eec3;2;2;countchildren;semantic;abbrev;success;17;17;"int.Parse(num[idx]);";;107.116;22.437;84.679;22.437;70.0;13.371428571428572;70
6c63ccd6bf4140ec9e6eacef7759eec3;3;0;parsequerystring;syntactic;abbrev;success;19;19;string pmt = stt[1];;357.839;18.068;339.771;18.068;438.0;12.317351598173516;438
6c63ccd6bf4140ec9e6eacef7759eec3;4;1;concatlists;syntactic;normal;success;21;21;"result[index + length] = second;";;150.734;12.184;138.55;12.184;115.0;14.643478260869566;115
6c63ccd6bf4140ec9e6eacef7759eec3;5;2;histogram;syntactic;single;success;18;18;"c[e] += 1;";;50.808;13.552;37.256;13.552;16.0;11.4375;16
999abf76a2b5463496b9e6b66ba152a0;0;0;readini;semantic;single;success;21;21;"c.Add(g, h);";;93.354;9.131;84.223;9.131;202.0;11.702970297029703;202
999abf76a2b5463496b9e6b66ba152a0;1;1;countchildren;semantic;normal;success;17;17;"int personAge = int.Parse(numbers[index]);";;149.154;13.049;136.105;13.049;131.0;11.091603053435115;131
999abf76a2b5463496b9e6b66ba152a0;2;2;codestructure;semantic;abbrev;success;18;18;"str.Add(chr);";;68.579;7.884;60.695;7.884;96.0;10.802083333333334;96
999abf76a2b5463496b9e6b66ba152a0;3;0;concatlists;syntactic;normal;success;21;21;"result[index + length] = second;";;36.473;6.483;29.99;6.483;36.0;13.0;36
999abf76a2b5463496b9e6b66ba152a0;4;1;parsequerystring;syntactic;abbrev;success;19;19;"string pmt = stt[1];";;29.781;8.156;21.625;8.156;30.0;12.833333333333334;30
999abf76a2b5463496b9e6b66ba152a0;5;2;histogram;syntactic;single;success;18;18;"c[e] += 1;";;34.54;5.843;28.697;5.843;38.0;12.18421052631579;38
99e6e65f2e884c2797149661e60a53b3;0;0;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";;162.793;22.727;140.066;22.727;111.0;13.225225225225225;111
99e6e65f2e884c2797149661e60a53b3;1;1;readini;semantic;single;success;21;21;"c.Add(g, h);";"Reminds me on ""26 names for lazy developers"" tweet";138.841;33.918;104.923;33.918;86.0;13.651162790697674;86
99e6e65f2e884c2797149661e60a53b3;2;2;codestructure;semantic;normal;success;18;18;"structure.Add(character);";;65.442;12.188;53.254;12.188;84.0;11.488095238095237;84
99e6e65f2e884c2797149661e60a53b3;3;0;concatlists;syntactic;abbrev;success;21;21;"rsl[idx + len] = scn;";;44.878;6.048;38.83;6.048;107.0;11.672897196261681;107
99e6e65f2e884c2797149661e60a53b3;4;1;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";;118.149;9.505;108.644;9.505;109.0;15.211009174311927;109
99e6e65f2e884c2797149661e60a53b3;5;2;histogram;syntactic;single;success;18;18;"c[e] += 1;";;49.133;8.478;40.655;8.478;48.0;12.208333333333334;48
dfc5e16eab524e5a974516e180e91b70;0;0;codestructure;semantic;abbrev;success;18;18;"str.Add(chr);";Es wird die falsche Liste befüllt. str wäre immer leer.;165.624;37.947;127.676;37.947;174.0;11.201149425287356;174
dfc5e16eab524e5a974516e180e91b70;1;1;readini;semantic;normal;success;21;21;"settings.Add(identifier, property);";Es wird die komplette Zeile zum Ergebnis-Dictionary hinzugefügt, anstatt die eigentlich gesuchte Eigenschaft (property).;228.808;46.235;182.573;46.235;139.0;11.899280575539569;139
dfc5e16eab524e5a974516e180e91b70;2;2;countchildren;semantic;single;success;17;17;"int h = int.Parse(f[g]);";"e wird nur hochgezählt, wenn die ""Range-Condition"" erfüllt ist. Eine Endlose Ausführung der Routine ist möglich.";218.378;49.509;168.869;49.509;224.0;13.008928571428571;224
dfc5e16eab524e5a974516e180e91b70;3;0;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";Semikolon fehlt leider. :-(;47.107;16.066;31.041;16.066;20.0;11.7;20
dfc5e16eab524e5a974516e180e91b70;4;1;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";Operator +- gibt es nicht standardmäßig.;54.429;26.036;28.393;26.036;12.0;9.5;12
dfc5e16eab524e5a974516e180e91b70;5;2;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";Für die Angabe eines Indexes sind eckige Klammern erforderlich.;59.887;33.478;26.409;33.478;13.0;10.0;13
28085f503a364fecbacf220dc34c8de7;0;0;countchildren;semantic;single;success;17;17;"int h = int.Parse(f[g]);";;125.21;14.758;110.452;14.758;137.0;11.781021897810218;137
28085f503a364fecbacf220dc34c8de7;1;1;codestructure;semantic;abbrev;success;18;18;"str.Add(chr);";;107.966;10.505;97.461;10.505;109.0;11.431192660550458;109
28085f503a364fecbacf220dc34c8de7;2;2;readini;semantic;normal;success;21;21;"settings.Add(identifier, property);";;51.743;8.584;43.159;8.584;25.0;13.04;25
28085f503a364fecbacf220dc34c8de7;3;0;histogram;syntactic;abbrev;success;18;18;"frq[chr] += 1;";;121.672;16.668;60.174;61.498;82.0;12.097560975609756;82
28085f503a364fecbacf220dc34c8de7;4;1;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";;26.503;5.304;21.199;5.304;21.0;13.571428571428571;21
28085f503a364fecbacf220dc34c8de7;5;2;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";;34.563;7.26;27.303;7.26;36.0;10.88888888888889;36
b2e601f093aa4719afc310cb84cbeda1;0;0;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";;99.012;20.801;78.21;20.801;110.0;11.418181818181818;110
b2e601f093aa4719afc310cb84cbeda1;1;1;codestructure;semantic;normal;success;18;18;"structure.Add(character);";;126.883;26.153;97.473;29.409;89.0;12.786516853932584;89
b2e601f093aa4719afc310cb84cbeda1;2;2;readini;semantic;single;success;21;21;"c.Add(g, h);";;57.249;7.517;49.732;7.517;65.0;13.553846153846154;65
b2e601f093aa4719afc310cb84cbeda1;3;0;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";;28.004;6.624;21.38;6.624;25.0;14.0;25
b2e601f093aa4719afc310cb84cbeda1;4;1;histogram;syntactic;normal;success;18;18;"frequencies[character] += 1;";;25.556;6.772;18.784;6.772;20.0;12.3;20
b2e601f093aa4719afc310cb84cbeda1;5;2;parsequerystring;syntactic;abbrev;success;19;19;"string pmt = stt[1];";;32.942;6.985;25.957;6.985;48.0;13.25;48
dee3062e14dd4b4096c8818c2c4e43b3;0;0;parsequerystring;semantic;single;success;19;19;"string h = f[1];";Second part of f is the actual value;160.922;43.636;117.286;43.636;58.0;12.189655172413794;58
dee3062e14dd4b4096c8818c2c4e43b3;1;1;concatlists;semantic;normal;success;21;21;"result[index + 1 + (length - 1)] = second;";The error is that values of the end array are overriden.;523.818;258.395;265.423;258.395;66.0;15.257575757575758;66
dee3062e14dd4b4096c8818c2c4e43b3;2;2;histogram;semantic;abbrev;success;18;18;"frq[chr] += 1;";Increment by one not by index;216.54;25.528;191.012;25.528;79.0;12.708860759493671;79
dee3062e14dd4b4096c8818c2c4e43b3;3;0;countchildren;syntactic;single;success;17;17;"int h = int.Parse(f[g]);";Assign h;132.762;18.609;114.153;18.609;16.0;10.5625;16
dee3062e14dd4b4096c8818c2c4e43b3;4;1;readini;syntactic;abbrev;success;21;21;"stt.Add(idn, prp);";Wrong type of brace;119.632;60.113;59.519;60.113;22.0;12.863636363636363;22
dee3062e14dd4b4096c8818c2c4e43b3;5;2;codestructure;syntactic;normal;success;18;18;"structure.Add(character);";Missing semicolon;91.398;31.693;59.705;31.693;28.0;12.785714285714286;28
53ab11ca61944adb8dda003934e9f48f;0;0;readini;semantic;normal;success;21;21;"settings.Add(identifier, property);";;83.621;25.63;57.991;25.63;44.0;10.386363636363637;44
53ab11ca61944adb8dda003934e9f48f;1;1;countchildren;semantic;abbrev;success;17;17;"int prs = int.Parse(num[idx]);";;201.463;14.498;186.965;14.498;117.0;13.153846153846153;117
53ab11ca61944adb8dda003934e9f48f;2;2;codestructure;semantic;single;success;18;18;"d.Add(f);";;111.419;8.582;102.837;8.582;82.0;11.670731707317072;82
53ab11ca61944adb8dda003934e9f48f;3;0;histogram;syntactic;abbrev;success;18;18;"frq[chr] +?= 1;";;44.911;6.819;38.092;6.819;15.0;11.0;15
53ab11ca61944adb8dda003934e9f48f;4;1;parsequerystring;syntactic;normal;success;19;19;"string parameterValue = setting[1];";;39.43;8.402;31.028;8.402;15.0;11.0;15
53ab11ca61944adb8dda003934e9f48f;5;2;concatlists;syntactic;single;success;21;21;"e[f + d] = h;";;216.836;19.944;159.223;57.613;201.0;14.09452736318408;201
2810c173dba347bc93c326ec21d35a53;0;0;parsequerystring;semantic;normal;success;19;19;"string parameterValue = setting[1];";der Value steht im setting-Array, nicht im parts-Array;78.044;26.454;51.59;26.454;71.0;13.098591549295774;71
2810c173dba347bc93c326ec21d35a53;1;1;concatlists;semantic;single;success;21;21;"e[f++] = h;";;150.945;24.699;99.244;51.701;127.0;15.118110236220472;127
2810c173dba347bc93c326ec21d35a53;2;2;histogram;semantic;abbrev;success;18;18;"frq[chr]++;";;93.034;18.902;74.132;18.902;69.0;11.18840579710145;69
2810c173dba347bc93c326ec21d35a53;3;0;countchildren;syntactic;single;success;17;17;"int h = int.Parse(f[g]);";;32.14;6.693;25.447;6.693;21.0;11.714285714285714;21
2810c173dba347bc93c326ec21d35a53;4;1;codestructure;syntactic;normal;success;18;18;"structure.Add(character);";;104.996;22.309;30.223;74.773;104.0;14.115384615384615;104
2810c173dba347bc93c326ec21d35a53;5;2;readini;syntactic;abbrev;success;21;21;"stt.Add(idn, prp);";;23.651;5.012;18.639;5.012;36.0;13.222222222222221;36
d2c8b05698e9407fb61794470e36d026;0;0;concatlists;semantic;normal;success;21;21;"result[2*index + 1] = second;";;225.719;38.707;180.883;44.836;32.0;14.6875;32
d2c8b05698e9407fb61794470e36d026;1;1;parsequerystring;semantic;abbrev;success;19;19;"string pmt = stt[1];";;126.322;29.213;97.109;29.213;48.0;12.833333333333334;48
d2c8b05698e9407fb61794470e36d026;2;2;histogram;semantic;single;success;18;18;"c[e] += 1;";;76.2;8.62;67.579;8.62;30.0;11.966666666666667;30
